,QUESTION,ENG,TYPE ENTITE,ROLE SEMANTIQUE,COMMENTAIRES
18499,Qui est comparé au gang des voleurs?,Who,Human,,
1043,Au cours de quelle période le style des automobiles est-il renouvelé?,When,Time,,
7361,Où sont allés Crapules et Pinocchio ?,Where,Location,,
19845,Qui était au pouvoir en Grèce après l'application du Traité de Sèvres?,Who,Human,,
7289,Où se situe le terrain légué par les héritiers Daloz à la commune de Cucq ?,Where,Location,,
115,A partir de quand l'école Kegon perd elle de son influence ?,When,Time,,
10323,Quand le groupe est il invité au Proms ?,When,Time,,
2079,Combien de région pratiquent la cueillette d'huitres au Sénégal?,How_Many,Measure,,
17800,"Qui a jugé ""impeccable"" la version française de Portal 2 ?",Who,Human,,
10156,Quand l'hôtel de ville a-t-il été construit ?,When,Time,,
246,A quand remonte les premiers écrits sur Sélestat ?,When,Time,,
19341,Qui possède de nombreux terrains ?,Who,Human,,
1786,Combien de guerres civiles connaitront les Grecs après leur indépendance en 1822?,How_Many,Measure,,
580,A quelle période a été établie l'union douanière ?,When,Time,,
18886,Qui est le secrétaire d'Etat des Affaires étrangères du Royaume-Unis?,Who,Human,,
5966,En quelle année découvre-t-on la présence du corbeau pie en Basse-Casamance?,When,Time,,
10167,Quand l'école de droit s'ajouta-t-elle à l'école ?,When,Time,,
1373,Combien compte une Tata Nano en Inde?,How_Many,Measure,,
19591,Qui serait à l'origine de la naissance du christianisme dans la région ?,Who,Human,,
351,A quel personnage Fielding a-t-il consacré un livre entier?,0,Human,,
9895,"Quand démarre la concrétisation de la ""bien belle idée""?",When,Time,,
19059,Qui exige un 7e album aux Stranglers ?,Who,Human,,
10135,Quand l'agitation des concerts des Stranglers s'est elle calmé ?,When,Time,,
5032,De quelle origine est l'éditeur George Allen & Unwin ?,Where,Location,,
1729,Combien de décès dans la province de Monastir ont été causés par la répression turque?,How_Many,Measure,,
2404,Combien y a-t-il de points d'accès au tunnel ?,How_Many,Measure,,
18654,Qui est la gouvernante de Pamela?,Who,Human,,
816,A quoi cette affaire conduit-elle les gens ?,What,Thing,Consequence,
7245,Où se situe cette zone lors de la saison sèche au mois de mars ?,Where,Location,,
1622,Combien de buts a encaissé le LOSC ?,How_Many,Measure,,
19624,Qui sont les coéquipiers d'Hinault lorsqu'il est néo-pro ?,Who,Human,,
6097,En quelle année la nouvelle chapelle est-elle bénie ?,When,Time,,
10541,Quand sort Written in Red ?,When,Time,,
18121,Qui annonce l'arrivée de la 4G dans le métro ?,Who,Human,,
18757,Qui est le fondateur de l'étruscologie moderne ?,Who,Human,,
27,A combien de centimètres de profondeur sont situés les nappes phréatiques à Sélestat ?,How_Many,Measure,,
19922,"Qui, autre que John More, est à l'origine de l'expression « luxuriance » ?",Who,Human,,
6177,"En quelle année les chevaux des Outer Banks se voient conférés le statut ""en danger critique"" pour la première fois?",When,Time,,
19650,Qui sont les managers de Punk ?,Who,Human,,
1307,Avec quoi la tortue luth récupère-t-elle de l'oxygène dans l'eau ?,Who,Human,,
10358,Quand le service de la Flèche d'argent a-t-il été assuré ?,When,Time,,
6929,Où est-ce que Charles d'Espagne a passé sa nuit en Normandie?,Where,Location,,
497,A quelle direction de Nauru se situent les îles Truk ?,0,Location,,
18381,Qui dément les affirmations de Faurisson ?,Who,Human,,
4611,De quand date la blessure de triple H à la nuque ?,When,Time,,
6193,En quelle année on a commencé la rédaction du Seigneur des anneaux?,When,Time,,
9594,Quand Merlin prend-il la forme d'un oiseau?,When,Time,,
1763,Combien de fois d'affilée le Celtic remporte-t-il le championnat entre 1905 et 1910 ?,How_Many,Measure,,
19886,Qui était le numéro un mondial en 2007 ?,Who,Human,,
10342,Quand le poète a été réhabilité dans les milieux académiques ?,When,Time,,
1820,Combien de laboratoires de recherche appartiennent à l'université François-Rabelais ?,How_Many,Measure,,
2233,Combien de textes relèvent des études de moeurs ?,How_Many,Measure,,
19316,Qui permet de démentir ces fausses considérations ?,Who,Human,,
4533,De combien d'histoires Winnie d'oursan dans le vent tire-t-il son inspiration?,How_Many,Measure,,
2176,Combien de temps dure la tempête ?,How_Many,Measure,,
20638,À qui appartient une partie des 71 navires  qu'est supposé avoir Olaf?,Who,Human,,
5757,En quelle année Athènes aida-t-elle les insurgés crétois?,When,Time,,
276,A quel dieu était dédié l'édifice religieux dont les trois métopes ont été enlevées ?,0,Thing,,
7321,Où se trouve l'origine du burnout pour Freudenberger ?,Where,Location,,
1966,Combien de personnes ont assisté au festival de jazz en 2017 ?,How_Many,Measure,,
7386,Où sont localisés les camps d'entraînement ?,Where,Location,,
17826,Qui a mené le projet de construction d'une maison médicale ?,Who,Human,,
5785,En quelle année Edgar Quinet écrit-il Merlin l'Enchanteur ?,When,Time,,
18796,Qui est le mentor spirituel de Catherine de Sienne ?,Who,Human,,
10260,Quand la traduction en katharévousa du Nouveau Testament sort-elle ?,When,Time,,
8509,QUi est la mère d'Olga ?,Who,Human,,
19790,"Qui à l'origine du terme ""torpédo-skiff""?",Who,Human,,
1205,Avec qui Cavour crée-t-il le journal Risorgimento ?,Who,Human,,
10153,Quand l'existence de lacs remplis de méthanes sur Titan est elle confirmée ?,When,Time,,
7429,Où trouve-t-on les garages ateliers ?,Where,Location,,
130,A partir de quand les fonctions militaires sont rendus aux princes ?,When,Time,,
9693,Quand a commencé la rébellion en Malaisie ?,When,Time,,
6697,Où Feline est t'il enregistré ?,Where,Location,,
9877,Quand disparait l'esclavage de l'ile?,When,Time,,
470,A quelle date a été fixé le rattrapage du match entre Lille et Nancy ?,When,Time,,
9651,Quand Tolkien passe-t-il des vacances en Suisse ?,When,Time,,
9600,Quand Mr Bennet a-t-il surement donné son accord sur l'arrengement ?,When,Time,,
2298,Combien de voitures la Olds Motor Vehicle Company a-t-elle vendue en trois ans?,How_Many,Measure,,
1774,Combien de fois plus élevés sont les coûts d'un tronçon souterrain par rapport à tronçon en viaduc ?,How_Many,Measure,,
9953,Quand est né Roger Bricoux?,When,Time,,
2082,Combien de réservistes Asqith a-t-il annoncé qu'il allait rappeler ?,How_Many,Measure,,
19152,Qui joue la voix de Gandalf ?,Who,Human,,
9582,Quand Laurent Blanc a t-il été Champion du monde ?,When,Time,,
4543,De combien de communes sont composées les deux enclaves bigourdanes ?,How_Many,Measure,,
10111,Quand fut construite La Chapelle Saint-Roche ?,When,Time,,
19274,Qui part pour Genève printemps 1816 ?,Who,Human,,
17889,Qui a remis les textes de Balzac dans l'ordre ?,Who,Human,,
18877,Qui est le roi de Nauru?,Who,Human,,
782,A qui écrit Catherine de Sienne en ermitage ?,Who,Human,,
1196,Avec qui Anne Teresa De Keersmaeker a-t-elle dansé sa chorégraphioe pendant de nombreuses années ?,Who,Human,,
7307,Où se trouvaient la plupart des victimes de la tempête ?,Where,Location,,
18600,Qui est l'auteur des paroles de Golden Brown ?,Who,Human,,
18001,Qui a écrit The Princess and Curdie ?,Who,Human,,
6784,Où avait-il cette même habitude auparavant ?,Where,Location,,
2399,Combien y a-t-il de Japonais présents sur l'île ?,How_Many,Measure,,
10538,Quand sont sortis des jouets Winnie l'ourson sous licence pour la première fois ?,When,Time,,
5778,En quelle année Disney a-t-il demandé une autorisation à Stokowski pour utiliser l'Oiseau de feu?,When,Time,,
10063,Quand est-ce que le Chat bai est le plus actif ?,When,Time,,
9933,Quand est inventé la méthode d'enseignement dite de Madras ?,When,Time,,
18162,Qui auditionna Billy Gilbert ?,Who,Human,,
19710,Qui subventionne le prolongement de la ligne ?,Who,Human,,
6998,Où habitent la plupart des personnes possédant une voiture?,Where,Location,,
10339,Quand le onzième album des Stranglers MK II est il sorti ?,When,Time,,
10011,Quand est-ce que Bompard arrive au LOSC ?,When,Time,,
1940,Combien de pays ne s'expriment sur cette question lors de l'assemblée ?,How_Many,Measure,,
2411,Combien y avait t'il de joueurs dans l'équipe de baseball de l'université ?,How_Many,Measure,,
697,A qui appartient le journal Le Matin?,Who,Human,,
7112,Où les voitures sont-elles rangées dans les villes de villégiature?,Where,Location,,
7284,Où se situe le premier lotissement créé par Jean-Baptiste Daloz ?,Where,Location,,
7543,Par qui Jet Black est il remplacé ?,Who,Human,,
19075,Qui fait la voix de Wheatley dans Portal 2 ?,Who,Human,,
7113,Où localise-t-on du calcaire ?,Where,Location,,
6495,Jusqu'à quelle station arrive la ligne 10 le 15 février 1930?,0,Location,,
6770,"Où a été imaginé le nouveau châssis, l'Andrea Moda S921 ?",Where,Location,,
10088,Quand est-ce que les impériaux sont chassés de Sélestat ?,When,Time,,
5187,De qui Philippine de Sales est elle de la famille ?,Who,Human,,
19666,Qui sont les premiers à gravir les falaises septentrionales au niveau de la proue ?,Who,Human,,
18310,Qui dirige la grèce ?,Who,Human,,
18037,Qui a écrit une biographie en 1750?,Who,Human,,
9632,Quand Snyder avait-il acheté les droits sur le Hobbit ?,When,Time,,
19834,Qui était Mélanie Waldor pour Cavour ?,Who,Human,,
6901,Où est situé le mont Cimone ?,Where,Location,,
460,A quelle date Jonathan Wild est-il mort?,When,Time,,
224,A quand remonte la première utilisation du cheval pour les chars militaires ?,When,Time,,
537,A quelle hauteur la colonne de cendres du mont saint helens fut-elle propulsée le 25 mai 1980 ?,0,Measure,,
6952,Où est-ce que le Grand Serpent a été construit ?,Where,Location,,
8063,Pour qui le Stage Licensing Act a-t-il mis fin à la carrière de dramaturge?,Who,Human,,
5517,Depuis quand peut-on suivre l'évolution du nombre d'habitants au Touquet ?,When,Time,,
367,A quel président américain a été assimilé sa personnalité ?,Who,Human,,
762,A qui ressemble Beorn ?,Who,Human,,
9591,Quand Mary Poppins a-t-il été produit ?,When,Time,,
19245,Qui obtient le maillot rose?,Who,Human,,
5795,En quelle année Höss a fait des déclarations ?,When,Time,,
19715,Qui suggère qu'un océan souterrain pourrait servir d'environnement favorable à la vie ?,Who,Human,,
19067,Qui fait des reproche à Tolkien ?,Who,Human,,
10007,Quand est-ce qu'on a relancé la recherche sur le félin ?,When,Time,,
18814,Qui est le plus célèbre criminel au XVIIIème siècle?,Who,Human,,
18447,Qui est Gérard Vignoble ?,Who,Human,,
7443,Où vont mouiller les vapeur lors des vives eaux ?,Where,Location,,
19408,Qui recueille le jeune Jo à l'agonie ?,Who,Human,,
19678,Qui sont principalement les personnes assistants à l'exécution ?,Who,Human,,
6921,Où est-ce qu'a été inauguré le « Titanic » Musician's Memorial?,Where,Location,,
10072,Quand est-ce que le pays connaît la succession de six présidents de la République ?,When,Time,,
18746,Qui est le duc Eudes IV de Bourgogne pour Jeanne ?,Who,Human,,
9704,Quand a eu lieu l'éruption volcanique la plus destructrice de l'histoire des Etats-Unis ?,When,Time,,
1403,Combien d'années séparent L'Obéissante du passage au moteur à explosion de Peugeot?,How_Many,Measure,,
6980,Où fut inhumée Catherine de Sienne ?,Where,Location,,
18725,Qui est le dernier buteur du match ?,Who,Human,,
10355,Quand le roman va-t-il connaître un succès nouveau à la télévision ?,When,Time,,
1930,Combien de passagers étaient à bord du Queen of Bermuda ?,How_Many,Measure,,
19374,Qui présente un véritable amour pour le théâtre ?,Who,Human,,
7348,Où se trouve les négociations dont les deux partenaires parlent ?,Where,Location,,
5829,En quelle année Rudolf perd son père ?,When,Time,,
18138,Qui arrive dans la salle au début du film ?,Who,Human,,
1772,Combien de fois les Maroons ne parviennent pas à se qualifier pour les séries éliminatoires ?,How_Many,Measure,,
5202,De qui dit-on qu'il a toujours quelque chose à dire à chacun ?,Who,Human,,
10255,Quand la statue est elle achevée ?,When,Time,,
669,A qui M. Briand écrit-il en 1921?,Who,Human,,
1748,Combien de fiole Bartali a-t-il acheté?,How_Many,Measure,,
6104,En quelle année la première guerre mondiale s'est-elle terminée?,When,Time,,
10491,Quand s'est déroulé le premier corso fleuri ?,When,Time,,
19688,Qui souhaite instaurer une paix religieuse en France ?,Who,Human,,
4679,De quand dates les derniers restes des Néandertaliens ?,When,Time,,
18915,Qui est mort ?,Who,Human,,
6144,En quelle année le coup d'Etat est-il légalisé?,When,Time,,
1585,Combien de Old Firm ont eu lieu dans l'histoire du Celtic Football Club ?,How_Many,Measure,,
5922,En quelle année a-t-on ajouté un embranchement au sud?,When,Time,,
250,A quand remonte son voyage en Afrique orientale ?,When,Time,,
7373,Où sont enterrés Coppi et son frère?,Where,Location,,
19370,Qui provoque en partie le comportement irresponsable de Lydia ?,Who,Human,,
9796,Quand a été produit Bambi ?,When,Time,,
277,A quel décor Hawdon est-il associé ?,0,Thing,,
17766,Qui a gagné la seconde rencontre en Lexington et Lecompte ?,Who,Human,,
5244,De qui se rapproche le plus le langage de la sittelle bleue ?,Who,Human,,
18208,Qui condamne l'astrologie ?,Who,Human,,
19804,Qui écrit un pamphlet contre Fielding?,Who,Human,,
17843,Qui a participé au dernier match de wrestlemania xxvi ?,Who,Human,,
626,A quelle étape de la Coupe Stanley est-ce que les Bruins rencontrent les Canadiens de Montréal ?,0,Measure,,
6015,En quelle année est-ce que Patrick est démis de ses fonctions ?,When,Time,,
9945,Quand est morte Sarah Trimmer ?,When,Time,,
7244,Où se situe ces dépôts volcaniques ?,Where,Location,,
653,A qui Churchill fait-il confiance en matière d'économie ?,Who,Human,,
18800,"Qui est le médecin américain, qui a mené des études sur des sujets similaires à ceux des études de Claude Veil ?",Who,Human,,
6166,En quelle année le prolongement est-il mis en service ?,When,Time,,
5891,En quelle année a reçu Jack Brabham le titre du premier fait pilote Knignt Bachelor?,When,Time,,
9662,Quand Walt Disney a-t-il cacher un chiot dans une boîte pour l'offrir à sa future femme ?,When,Time,,
505,A quelle distance se situe la gare la plus proche de Belzec?,0,Measure,,
6737,Où Yohannes est-il né ?,Where,Location,,
1224,Avec qui Jean Alesi va-t-il se marier alors qu'il participe à son centième Grand Prix ?,Who,Human,,
9635,Quand Stewart établit-il le record du doublé le plus rapide ?,When,Time,,
7279,Où se situe le haras du Pin ?,Where,Location,,
19643,Qui sont les députés MDV qui suivent Maurice?,Who,Human,,
6851,Où est finalement choisie l'implantation de la nouvelle ville ?,Where,Location,,
18275,Qui des deux hommes est sans enfant ?,Who,Human,,
7746,Pendant combien de temps le navire fut il préparé ?,When,Time,,
5754,En quelle année 8 millions de voitures ont-elles été produites aux Etats-Unis?,When,Time,,
18322,Qui dispensent les cours dans les universités de recherche ?,Who,Human,,
688,A qui Wolfgang Reitherman a-t-il demandé de construire une cage pour les rats ?,Who,Human,,
1469,Combien d'habitants disposaient ces trois vallées à leur maximum ?,How_Many,Measure,,
2010,Combien de pilotes et membres d'équipage l'Angleterre a-t-elle perdu en trois ans ?,How_Many,Measure,,
77,A la droite de qui Hanfstaengl était-il assis ?,Who,Human,,
19827,Qui était Edward Marsh pour Churchill ?,Who,Human,,
18916,Qui est mort le 26 octobre?,Who,Human,,
5926,En quelle année a-t-on commencé les travaux pour la deuxième section ?,When,Time,,
7394,Où sont publiées les Odes de 1819 ?,Where,Location,,
10305,Quand le crâne a-t-il été trouvé ?,When,Time,,
1238,Avec qui Mr Bennet a-t-il un désaccord ?,Who,Human,,
1257,Avec qui fait-il affaire dans ce contrat pétrolier ?,Who,Human,,
18207,Qui condamne Pip dans l'ouvrage?,Who,Human,,
419,A quel événement de l'histoire est comparé l'opposition entre Grecs et Ottomans ?,0,Event,,
18321,Qui dirigie l'équipe chargée de l'animation de Wheatley et des autres sphères mobiles ?,Who,Human,,
19284,Qui parvient à reprendre l'abbaye au sieur Méolhon ?,Who,Human,,
10229,Quand la mère de Churchill a elle vécu à Paris ?,When,Time,,
5920,En quelle année a-t-il rejoint le Carpathia?,When,Time,,
662,A qui Eberhard donne t-il la ville à la fin de sa vie ?,Who,Human,,
19347,Qui pouvait accorder une exemption d'impôts ?,Who,Human,,
1445,Combien d'espèces de mousse trouve-t-on dans le parc ?,How_Many,Measure,,
10247,Quand la réflexion du gentleman par Dickens a-t-elle débutée?,When,Time,,
10169,Quand l'école maternelle à Paris-Plage est-elle agrandie pour accueillir six classes ?,When,Time,,
19317,Qui permet notamment de développer la vie culturelle en Germanie ?,Who,Human,,
5243,De qui se composent les renforts dirigés par Pierre le Cruel qui viennent en aide à Tolède ?,Who,Human,,
1252,Avec qui a intégré Hartley le Mauretania?,Who,Human,,
9545,Quand Fielding est-il devenu veuf?,When,Time,,
18765,Qui est le frère de la femme de Sven ?,Who,Human,,
18998,Qui est victorieux du match entre Lille et Monaco ?,Who,Human,,
4582,De combien est réduite la résistance à l'avancement grâce aux pneus?,How_Many,Measure,,
10112,Quand fut construite la maison du doyen collégiale ?,When,Time,,
9717,Quand a eu lieu la première opération de bombardement stratégique de l'Allemagne ?,When,Time,,
19507,Qui s'est soulevé en 1908 à Constantinople?,Who,Human,,
7168,Où réside Miss Havisham?,Where,Location,,
9773,Quand a été construite la couverture du bâtiment ?,When,Time,,
19015,"Qui est à l'origine de la notion de ""dépendance automobile""?",Who,Human,,
761,A qui renvoie le surnom Lizzy ?,Who,Human,,
516,A quelle face de l'Eiger est souvent assimilé cette paroi ?,0,Abstract,,
19048,Qui est-ce qui a adopté le charbon pendant la période des Royaumes combattants ?,Who,Human,,
187,A quand remonte ce retour en grâce ?,When,Time,,
17903,Qui a retravaillé le Nanien dans le roman Seigneur des anneaux?,Who,Human,,
17735,Qui a fait cette traversée pour la première fois ?,Who,Human,,
19693,Qui souhaitent limiter la vente de nouvelles terres aux Juifs?,Who,Human,,
19773,Qui vient prendre la place de Martin Brundle au sein de l'écurie Ligier ?,Who,Human,,
10535,Quand sont les premières retransmissions ?,When,Time,,
1283,Avec qui partageait-il son ambition ?,Who,Human,,
2148,Combien de temps a pris le ramassage de cendres à Yakima lors de l'éruption du mont saint helens ?,How_Many,Measure,,
6485,Jusqu'à quelle année Rudi Garcia a t-il joué au LOSC ?,0,Time,,
8055,Pour qui des noms sont-ils proposés ?,Who,Human,,
17820,Qui a marqué contre son camp du match LOSC - Levski Sofia ?,Who,Human,,
7590,Par qui les négociations de Bretton Woods sont-elles menées ?,Who,Human,,
17768,Qui a gagné le Kentucky Derby en 2008 ?,Who,Human,,
9681,Quand Yohannes entre-t-il en contact avec des officiers britanniques ?,When,Time,,
1296,Avec quoi est faite sa première jupe ?,Who,Human,,
18472,Qui est accusée de parjure?,Who,Human,,
17691,"Qui a donné plusieurs centaines de milliers de dollars australiens à Baron Waqa, Davide Adeang et à d'autres députés ?",Who,Human,,
456,A quelle date Fielding parte-t-il pour le Portugal?,When,Time,,
6866,Où est le graphique qui illustre la situation ?,Where,Location,,
17760,Qui a gagné des procès contre des constructeurs automobiles?,Who,Human,,
2120,Combien de spectateurs peuvent rentrer dans la salle de hand de Sélestat ?,How_Many,Measure,,
18629,Qui est l'unique ancètre patrilinéaure de 95 % des Pur-sang actuels ?,Who,Human,,
5807,En quelle année Marcus a-t-il mis au point une voiture?,When,Time,,
5850,En quelle année Yohannes s'adjoint-il les services de John Kirkham ?,When,Time,,
126,A partir de quand les américains commencent-ils à créer des véhicules moins imposants?,When,Time,,
593,A quelle période suit-on le personnage principal?,When,Time,,
679,A qui Mrs Bennet souhaite-t-elle voir Elizabeth mariée ?,Who,Human,,
7292,Où se situe un tel relief ?,Where,Location,,
240,A quand remonte le rejet des Remontrances ?,When,Time,,
18504,Qui est conseiller aux cotés de Maurice?,Who,Human,,
19654,Qui sont les nouveaux membres des Stranglers MK II ?,Who,Human,,
4622,De quand date la première diffusion des Nouvelles Aventures de Winnie l'ourson?,When,Time,,
801,A quoi Le Times compare-t-il l'importance l'exposition universelle ?,What,Thing,,
6455,Jusqu'où s'étende la zone de tranquilité lors de l'érutpion du mont saint helens ?,Where,Location,,
1708,Combien de courses Brabham a gagné en championnat d'Europe ?,How_Many,Measure,,
120,A partir de quand la lutte entre Tekle Giyorgis II et Yihannes semble-t-elle inévitable ?,When,Time,,
6067,En quelle année l'école primaire de Karabane ouvre-t-elle pour la première fois?,When,Time,,
9483,Quand Cavour est-il né ?,When,Time,,
6959,Où est-ce que les navires en transit peuvent jeter l'ancre au niveau du canal de Panama?,Where,Location,,
6154,En quelle année le monastère devient-il monastère de cénobites ?,When,Time,,
1380,Combien coûte une année de cycle court en moyenne ?,How_Many,Measure,,
1046,Au cours de quelles années de magnifiques automobiles sont-elles créées?,When,Time,,
205,A quand remonte la chalcolithique final ?,When,Time,,
19149,Qui joue Jane?,Who,Human,,
258,A quel art Fantasia fait-il de nombreuses références ?,0,Abstract,,pas évident
42,A combien est évalué leur perte financière ?,How_Many,Measure,,
5496,Depuis quand l'AS Monaco joue en Ligue 1 ?,When,Time,,
4615,De quand date la domestication des cochons ?,When,Time,,
1212,Avec qui Coppi a-t-il une relation ?,Who,Human,,
10335,Quand le nid de pégase a-t-il été ajouté à l'histoire?,When,Time,,
7233,Où se réunit la noblesse qui ne veut plus de Paris comme lieu de rassemblement ?,Where,Location,,
7487,Par quel moyen Yaméogo met ses opposants de côtés?,Comment,Comment,,
1279,Avec qui les Stranglers règlent ils leur compte en Islande ?,Who,Human,,
1919,Combien de nouvelles lignes et sections ont été décidé ?,How_Many,Measure,,
2076,Combien de roulements de travail existe-il sur un planning d'un agent?,How_Many,Measure,,
348,A quel pays appartient le port d'Obock en 1872 ?,0,Location,,
542,A quelle heure débute le coup d'Etat?,When,Time,,
17588,Qui Pip épouse-t-il?,Who,Human,,
6017,En quelle année est-ce que Schmidt prend sa retraite ?,When,Time,,
461,A quelle date Lille est sur la première marche du podium ?,When,Time,,
17725,Qui a essayé de classifier les animaux ?,Who,Human,,
19185,Qui les champignons imitent-ils en dansant ?,Who,Human,,
9711,Quand a eu lieu la conférence de Yalta ?,When,Time,,
17720,Qui a engagé l'agence pour la traversée inaugurale?,Who,Human,,
270,A quel club a été opposé Zamora lors de sa première titularisation au Real Madrid ?,0,Organization,,
